[2022-04-17 00:27:46,647 |   INFO   | twitter_profile_scraper] crypto_ninja704 | 108 followers
[2022-04-17 00:27:46,648 |   INFO   | twitter_profile_scraper] poenanft
[2022-04-17 00:27:47,763 |   INFO   | twitter_profile_scraper] poenanft | VALID
[2022-04-17 00:27:47,848 |   INFO   | twitter_profile_scraper] poenanft | 786 followers
[2022-04-17 00:27:47,848 |   INFO   | twitter_profile_scraper] jamiebxne
[2022-04-17 00:27:48,841 |   INFO   | twitter_profile_scraper] jamiebxne | VALID
[2022-04-17 00:27:48,924 |   INFO   | twitter_profile_scraper] jamiebxne | 33K followers
[2022-04-17 00:27:48,925 |   INFO   | twitter_profile_scraper] mecryptocookie
[2022-04-17 00:27:49,923 |   INFO   | twitter_profile_scraper] mecryptocookie | VALID
[2022-04-17 00:27:50,005 |   INFO   | twitter_profile_scraper] mecryptocookie | 10.6K followers
[2022-04-17 00:27:50,006 |   INFO   | twitter_profile_scraper] vasiliasbycisco
[2022-04-17 00:27:51,009 |   INFO   | twitter_profile_scraper] vasiliasbycisco | VALID
[2022-04-17 00:27:51,142 |   INFO   | twitter_profile_scraper] vasiliasbycisco | 2 followers
[2022-04-17 00:27:51,143 |   INFO   | twitter_profile_scraper] ham_ros1
[2022-04-17 00:27:52,085 |   INFO   | twitter_profile_scraper] ham_ros1 | VALID
[2022-04-17 00:27:52,166 |   INFO   | twitter_profile_scraper] ham_ros1 | 1,205 followers
[2022-04-17 00:27:52,192 |   INFO   | twitter_profile_scraper] jaroxfn
[2022-04-17 00:27:53,199 |   INFO   | twitter_profile_scraper] jaroxfn | VALID
[2022-04-17 00:27:53,278 |   INFO   | twitter_profile_scraper] jaroxfn | 589 followers
[2022-04-17 00:27:53,278 |   INFO   | twitter_profile_scraper] janmichaelmc
[2022-04-17 00:27:54,239 |   INFO   | twitter_profile_scraper] janmichaelmc | VALID
[2022-04-17 00:27:54,317 |   INFO   | twitter_profile_scraper] janmichaelmc | 3,120 followers
[2022-04-17 00:27:54,318 |   INFO   | twitter_profile_scraper] nftmime
[2022-04-17 00:27:55,282 |   INFO   | twitter_profile_scraper] nftmime | VALID
[2022-04-17 00:27:55,364 |   INFO   | twitter_profile_scraper] nftmime | 68 followers
[2022-04-17 00:27:55,365 |   INFO   | twitter_profile_scraper] knut1783
[2022-04-17 00:27:56,334 |   INFO   | twitter_profile_scraper] knut1783 | VALID
[2022-04-17 00:27:56,416 |   INFO   | twitter_profile_scraper] knut1783 | 403 followers
[2022-04-17 00:27:56,465 |   INFO   | twitter_profile_scraper] pullday57
[2022-04-17 00:27:57,447 |   INFO   | twitter_profile_scraper] pullday57 | VALID
[2022-04-17 00:27:57,530 |   INFO   | twitter_profile_scraper] pullday57 | 4 followers
[2022-04-17 00:27:57,530 |   INFO   | twitter_profile_scraper] brucebrethren
[2022-04-17 00:27:58,511 |   INFO   | twitter_profile_scraper] brucebrethren | VALID
[2022-04-17 00:27:58,593 |   INFO   | twitter_profile_scraper] brucebrethren | 20 followers
[2022-04-17 00:27:58,594 |   INFO   | twitter_profile_scraper] edxeth
[2022-04-17 00:27:59,566 |   INFO   | twitter_profile_scraper] edxeth | VALID
[2022-04-17 00:27:59,650 |   INFO   | twitter_profile_scraper] edxeth | 202 followers
[2022-04-17 00:27:59,651 |   INFO   | twitter_profile_scraper] gatsby54023931
[2022-04-17 00:28:00,717 |   INFO   | twitter_profile_scraper] gatsby54023931 | VALID
[2022-04-17 00:28:00,794 |   INFO   | twitter_profile_scraper] gatsby54023931 | 606 followers
[2022-04-17 00:28:00,795 |   INFO   | twitter_profile_scraper] panda14307515
[2022-04-17 00:28:01,864 |   INFO   | twitter_profile_scraper] panda14307515 | VALID
[2022-04-17 00:28:01,945 |   INFO   | twitter_profile_scraper] panda14307515 | 181 followers
[2022-04-17 00:28:01,945 |   INFO   | twitter_profile_scraper] awkwardferny
[2022-04-17 00:28:02,947 |   INFO   | twitter_profile_scraper] awkwardferny | VALID
[2022-04-17 00:28:03,024 |   INFO   | twitter_profile_scraper] awkwardferny | 114 followers
